id	idade_ingresso_universidade	idade_colacao_grau	media_global_atual_discente	media_global_atual_matriz_curricular	quantidade_trancamentos	numero_de_reprovacoes	medias_dez_primeiras_disciplinas	target
1	19	26.0	5.01	4.97	1.0	16	6.0625	NÃO
2	19	23.0	0.0	4.97	0.0	2	7.944444444444445	SIM
3	18	23.0	0.0	4.97	0.0	4	7.4111111111111105	NÃO
5	17	22.0	0.0	4.97	0.0	5	6.666666666666668	NÃO
6	19	23.0	6.86	4.97	0.0	2	6.322222222222222	SIM
7	19	24.0	0.0	4.97	0.0	7	6.811111111111113	NÃO
8	19	27.0	4.81	4.97	2.0	25	6.369999999999999	NÃO
10	18	23.0	0.0	4.97	0.0	6	6.977777777777778	NÃO
11	19	24.0	0.0	4.97	1.0	3	6.622222222222222	NÃO
14	20	23.0	0.0	4.97	0.0	3	8.0	NÃO
15	20	25.0	0.0	4.97	0.0	5	5.0	NÃO
17	21	29.0	6.58	4.97	0.0	8	7.31	NÃO
18	18	22.0	0.0	4.97	0.0	0	6.811111111111113	SIM
19	18	22.0	0.0	4.97	0.0	0	7.811111111111113	SIM
20	18	23.0	0.0	4.97	0.0	13	6.6111111111111125	NÃO
21	20	27.0	5.87	4.97	0.0	8	6.9499999999999975	NÃO
22	19	23.0	0.0	4.97	0.0	0	7.7555555555555555	SIM
23	17	25.0	5.19	4.97	2.0	26	6.029999999999999	NÃO
24	20	25.0	0.0	4.97	0.0	14	7.05	NÃO
25	19	26.0	5.18	4.97	0.0	26	5.84	NÃO
27	28	29.0	0.0	4.97	0.0	1	0.0	NÃO
28	21	24.0	0.0	4.97	0.0	1	8.3	NÃO
29	20	23.0	0.0	4.97	0.0	1	0.0	NÃO
30	18	22.0	0.0	4.97	0.0	0	7.399999999999999	SIM
33	19	25.0	5.97	4.97	0.0	13	6.566666666666666	NÃO
35	18	22.0	0.0	4.97	0.0	5	6.711111111111111	SIM
37	18	24.0	0.0	4.97	0.0	9	7.211111111111113	NÃO
43	19	25.0	6.12	4.97	0.0	11	6.288888888888889	NÃO
45	20	24.0	0.0	4.97	0.0	1	7.12	SIM
46	18	22.0	0.0	4.97	0.0	1	8.855555555555554	SIM
47	20	27.0	4.95	4.97	1.0	29	6.2375	NÃO
49	17	22.0	0.0	4.97	0.0	1	7.677777777777778	NÃO
50	21	24.0	0.0	4.97	0.0	0	6.033333333333334	NÃO
52	18	25.0	4.83	4.97	0.0	31	6.33	NÃO
56	20	26.0	6.07	4.97	0.0	13	6.8888888888888875	NÃO
57	18	26.0	5.48	4.97	0.0	21	5.822222222222222	NÃO
58	18	24.0	5.45	4.97	1.0	24	6.57	NÃO
59	18	23.0	5.61	4.97	0.0	17	6.533333333333332	NÃO
61	18	22.0	0.0	4.97	0.0	0	8.511111111111111	SIM
62	18	22.0	0.0	4.97	0.0	1	7.899999999999999	SIM
63	19	24.0	5.69	4.97	0.0	12	6.4125	NÃO
66	19	25.0	5.99	4.97	0.0	11	6.369999999999999	NÃO
69	21	25.0	0.0	4.97	0.0	9	6.4	SIM
70	18	26.0	4.65	4.97	0.0	36	6.311111111111113	NÃO
71	18	23.0	5.9	4.97	0.0	12	6.288888888888889	NÃO
72	18	22.0	0.0	4.97	0.0	0	7.9222222222222225	SIM
74	18	24.0	5.83	4.97	0.0	13	5.68	NÃO
75	18	23.0	0.0	4.97	0.0	5	7.1111111111111125	NÃO
79	19	25.0	4.8	4.97	0.0	23	6.4	NÃO
80	19	23.0	0.0	4.97	0.0	15	6.144444444444447	SIM
81	22	26.0	0.0	4.97	2.0	2	7.933333333333333	SIM
82	17	24.0	7.52	4.97	0.0	4	8.28	NÃO
83	18	24.0	7.47	4.97	0.0	7	8.68888888888889	NÃO
89	18	24.0	6.09	4.97	0.0	12	7.17	NÃO
91	24	30.0	6.33	4.97	0.0	5	6.266666666666668	NÃO
94	19	27.0	4.63	4.97	1.0	7	6.0	NÃO
95	17	21.0	0.0	4.97	0.0	19	6.688888888888887	SIM
97	17	21.0	0.0	4.97	0.0	0	7.933333333333334	SIM
98	19	27.0	5.28	4.97	1.0	27	6.51	NÃO
100	18	25.0	6.37	4.97	0.0	8	6.299999999999999	NÃO
102	18	24.0	5.25	4.97	0.0	22	6.1800000000000015	NÃO
108	18	23.0	0.0	4.97	0.0	3	9.688888888888886	NÃO
112	20	24.0	0.0	4.97	0.0	4	7.6	SIM
