	idade_ingresso_universidade	idade_colacao_grau	media_global_atual_discente	media_global_atual_matriz_curricular	quantidade_trancamentos	numero_de_reprovacoes	medias_dez_primeiras_disciplinas	target
0	26.0	19.0	5.01	4.97	6.0625	16.0	1.0	NÃO
1	23.0	19.0	0.0	4.97	7.9444444444444455	2.0	0.0	SIM
2	23.0	18.0	0.0	4.97	7.4111111111111105	4.0	0.0	NÃO
3	22.0	17.0	0.0	4.97	6.666666666666668	5.0	0.0	NÃO
4	23.0	19.0	6.86	4.97	6.322222222222222	2.0	0.0	SIM
5	24.0	19.0	0.0	4.97	6.811111111111113	7.0	0.0	NÃO
6	27.0	19.0	4.81	4.97	6.369999999999999	25.0	2.0	NÃO
7	23.0	18.0	0.0	4.97	6.977777777777778	6.0	0.0	NÃO
8	24.0	19.0	0.0	4.97	6.622222222222222	3.0	1.0	NÃO
9	23.0	20.0	0.0	4.97	8.0	3.0	0.0	NÃO
10	25.0	20.0	0.0	4.97	5.0	5.0	0.0	NÃO
11	29.0	21.0	6.58	4.97	7.31	8.0	0.0	NÃO
12	22.0	18.0	0.0	4.97	6.811111111111113	0.0	0.0	SIM
13	22.0	18.0	0.0	4.97	7.811111111111113	0.0	0.0	SIM
14	23.0	18.0	0.0	4.97	6.6111111111111125	13.0	0.0	NÃO
15	27.0	20.0	5.87	4.97	6.9499999999999975	8.0	0.0	NÃO
16	23.0	19.0	0.0	4.97	7.7555555555555555	0.0	0.0	SIM
17	25.0	17.0	5.19	4.97	6.0299999999999985	26.0	2.0	NÃO
18	25.0	20.0	0.0	4.97	7.05	14.0	0.0	NÃO
19	26.0	19.0	5.18	4.97	5.84	26.0	0.0	NÃO
20	29.0	28.0	0.0	4.97	0.0	1.0	0.0	NÃO
21	24.0	21.0	0.0	4.97	8.3	1.0	0.0	NÃO
22	23.0	20.0	0.0	4.97	0.0	1.0	0.0	NÃO
23	22.0	18.0	0.0	4.97	7.399999999999999	0.0	0.0	SIM
24	25.0	19.0	5.97	4.97	6.566666666666666	13.0	0.0	NÃO
25	22.0	18.0	0.0	4.97	6.711111111111111	5.0	0.0	SIM
26	24.0	18.0	0.0	4.97	7.211111111111113	9.0	0.0	NÃO
27	25.0	19.0	6.12	4.97	6.288888888888889	11.0	0.0	NÃO
28	24.0	20.0	0.0	4.97	7.12	1.0	0.0	SIM
29	22.0	18.0	0.0	4.97	8.855555555555554	1.0	0.0	SIM
30	27.0	20.0	4.95	4.97	6.2375	29.0	1.0	NÃO
31	22.0	17.0	0.0	4.97	7.677777777777778	1.0	0.0	NÃO
32	24.0	21.0	0.0	4.97	6.033333333333334	0.0	0.0	NÃO
33	25.0	18.0	4.83	4.97	6.33	31.0	0.0	NÃO
34	26.0	20.0	6.07	4.97	6.888888888888888	13.0	0.0	NÃO
35	26.0	18.0	5.48	4.97	5.822222222222222	21.0	0.0	NÃO
36	24.0	18.0	5.45	4.97	6.57	24.0	1.0	NÃO
37	23.0	18.0	5.61	4.97	6.533333333333332	17.0	0.0	NÃO
38	22.0	18.0	0.0	4.97	8.511111111111111	0.0	0.0	SIM
39	22.0	18.0	0.0	4.97	7.899999999999999	1.0	0.0	SIM
40	24.0	19.0	5.69	4.97	6.4125	12.0	0.0	NÃO
41	25.0	19.0	5.99	4.97	6.369999999999999	11.0	0.0	NÃO
42	25.0	21.0	0.0	4.97	6.4	9.0	0.0	SIM
43	26.0	18.0	4.65	4.97	6.311111111111113	36.0	0.0	NÃO
44	23.0	18.0	5.9	4.97	6.288888888888889	12.0	0.0	NÃO
45	22.0	18.0	0.0	4.97	7.9222222222222225	0.0	0.0	SIM
46	24.0	18.0	5.83	4.97	5.68	13.0	0.0	NÃO
47	23.0	18.0	0.0	4.97	7.1111111111111125	5.0	0.0	NÃO
48	25.0	19.0	4.8	4.97	6.4	23.0	0.0	NÃO
49	23.0	19.0	0.0	4.97	6.1444444444444475	15.0	0.0	SIM
50	26.0	22.0	0.0	4.97	7.933333333333333	2.0	2.0	SIM
51	24.0	17.0	7.52	4.97	8.28	4.0	0.0	NÃO
52	24.0	18.0	7.47	4.97	8.68888888888889	7.0	0.0	NÃO
53	24.0	18.0	6.09	4.97	7.17	12.0	0.0	NÃO
54	30.0	24.0	6.33	4.97	6.2666666666666675	5.0	0.0	NÃO
55	27.0	19.0	4.63	4.97	6.0	7.0	1.0	NÃO
56	21.0	17.0	0.0	4.97	6.688888888888887	19.0	0.0	SIM
57	21.0	17.0	0.0	4.97	7.933333333333334	0.0	0.0	SIM
58	27.0	19.0	5.28	4.97	6.51	27.0	1.0	NÃO
59	25.0	18.0	6.37	4.97	6.299999999999999	8.0	0.0	NÃO
60	24.0	18.0	5.25	4.97	6.1800000000000015	22.0	0.0	NÃO
61	23.0	18.0	0.0	4.97	9.688888888888886	3.0	0.0	NÃO
62	24.0	20.0	0.0	4.97	7.6	4.0	0.0	SIM
63	23.0	19.0	0.0	4.97	6.3500000000000005	8.0	0.0	SIM
64	23.0	18.0	0.0	4.97	7.322222222222222	4.0	0.0	NÃO
65	22.0	17.0	6.05	4.97	6.2	9.0	0.0	NÃO
66	24.0	17.0	5.73	4.97	6.31	14.0	1.0	NÃO
67	23.0	18.0	6.88	4.97	7.633333333333334	2.0	0.0	NÃO
68	26.0	22.0	0.0	4.97	7.4	7.0	0.0	SIM
69	23.0	17.0	6.51	4.97	6.469999999999999	7.0	0.0	NÃO
70	26.0	22.0	0.0	4.97	7475.0	4.0	0.0	SIM
71	21.0	17.0	0.0	4.97	8.133333333333333	0.0	0.0	SIM
72	25.0	19.0	6.49	4.97	6.580000000000001	3.0	0.0	NÃO
73	25.0	18.0	5.22	4.97	6.34	21.0	0.0	NÃO
74	24.0	18.0	5.76	4.97	6.19	13.0	0.0	NÃO
75	25.0	18.0	5.73	4.97	6.133333333333334	24.0	0.0	NÃO
76	25.0	19.0	8.59	4.97	8.3625	2.0	0.0	NÃO
77	24.0	19.0	6.94	4.97	6.48	7.0	0.0	NÃO
78	26.0	19.0	6.01	4.97	6.522222222222222	13.0	0.0	NÃO
79	33.0	28.0	4.63	4.97	0.0	1.0	5.0	NÃO
80	30.0	23.0	5.48	4.97	7.28888888888889	17.0	2.0	NÃO
81	26.0	20.0	6.54	4.97	5.95	6.0	0.0	NÃO
82	25.0	19.0	6.51	4.97	6.45	9.0	0.0	NÃO
83	25.0	17.0	4.6	4.97	6.19	45.0	0.0	NÃO
84	26.0	23.0	0.0	4.97	5.566666666666667	10.0	0.0	NÃO
85	25.0	19.0	7.24	4.97	7.7857142857142865	6.0	0.0	NÃO
86	25.0	23.0	0.0	4.97	5.8	4.0	0.0	NÃO
87	29.0	21.0	5.22	4.97	7.216666666666666	23.0	1.0	NÃO
88	21.0	17.0	7.38	4.97	6.7333333333333325	2.0	0.0	SIM
89	26.0	19.0	5.18	4.97	6.480000000000001	32.0	0.0	NÃO
90	27.0	22.0	4.52	4.97	6.28	15.0	0.0	NÃO
91	24.0	17.0	5.7	4.97	7.022222222222222	21.0	1.0	NÃO
92	26.0	20.0	6.03	4.97	6.25	14.0	0.0	NÃO
93	24.0	17.0	5.42	4.97	5.722222222222222	25.0	0.0	NÃO
94	26.0	18.0	5.1	4.97	5.7666666666666675	33.0	0.0	NÃO
95	23.0	18.0	7.46	4.97	6.910000000000001	4.0	0.0	NÃO
96	26.0	20.0	6.31	4.97	6.7	16.0	0.0	NÃO
97	29.0	23.0	6.34	4.97	6.48	6.0	0.0	NÃO
98	23.0	19.0	0.0	4.97	7.85	4.0	0.0	SIM
99	23.0	18.0	7.37	4.97	7.92	4.0	0.0	NÃO
100	23.0	19.0	0.0	4.97	6.688888888888887	3.0	0.0	SIM
101	22.0	18.0	7.2	4.97	7.666666666666668	2.0	0.0	SIM
102	24.0	20.0	0.0	4.97	6.777777777777778	2.0	0.0	SIM
103	23.0	19.0	7.92	4.97	7.222222222222222	1.0	0.0	SIM
104	27.0	20.0	5.21	4.97	6.277777777777778	23.0	0.0	NÃO
105	23.0	18.0	7.53	4.97	7.65	3.0	0.0	NÃO
106	25.0	18.0	6.64	4.97	8.47	13.0	2.0	NÃO
107	24.0	17.0	6.24	4.97	6.8599999999999985	10.0	0.0	NÃO
108	25.0	19.0	6.05	4.97	6.839999999999999	12.0	0.0	NÃO
109	24.0	18.0	6.36	4.97	7.0200000000000005	10.0	0.0	NÃO
110	23.0	18.0	6.81	4.97	6.68	6.0	0.0	NÃO
111	26.0	19.0	5.67	4.97	7.26	22.0	0.0	NÃO
112	24.0	19.0	6.97	4.97	7.3599999999999985	8.0	0.0	NÃO
113	27.0	21.0	5.69	4.97	6.45	17.0	0.0	NÃO
114	24.0	18.0	7.69	4.97	7.38	0.0	0.0	NÃO
115	23.0	17.0	9.34	4.97	9.47	0.0	0.0	NÃO
116	25.0	19.0	6.45	4.97	6.95	11.0	0.0	NÃO
117	23.0	18.0	6.63	4.97	6.2799999999999985	5.0	0.0	NÃO
118	40.0	37.0	0.0	4.97	0.0	6.0	0.0	NÃO
119	23.0	18.0	6.88	4.97	6.540000000000001	3.0	0.0	NÃO
120	31.0	25.0	5.2	4.97	5.7666666666666675	20.0	0.0	NÃO
121	31.0	29.0	0.0	4.97	9.0	2.0	0.0	NÃO
122	27.0	23.0	8.29	4.97	8.014285714285714	0.0	0.0	SIM
123	25.0	19.0	6.21	4.97	6.880000000000001	16.0	0.0	NÃO
124	25.0	18.0	5.27	4.97	5.52	22.0	0.0	NÃO
125	25.0	18.0	5.11	4.97	6.3500000000000005	31.0	0.0	NÃO
126	24.0	18.0	5.47	4.97	5.45	20.0	0.0	NÃO
127	23.0	19.0	7.18	4.97	7.410000000000001	2.0	0.0	SIM
128	24.0	19.0	5.56	4.97	6.455555555555558	19.0	0.0	NÃO
129	25.0	18.0	4.95	4.97	6.7700000000000005	34.0	0.0	NÃO
130	25.0	19.0	7.53	4.97	9.616666666666667	2.0	1.0	NÃO
131	24.0	19.0	7.57	4.97	7.489999999999997	2.0	0.0	NÃO
132	25.0	20.0	6.45	4.97	7.0900000000000025	11.0	0.0	NÃO
133	24.0	18.0	6.71	4.97	7.42	12.0	0.0	NÃO
134	25.0	19.0	6.45	4.97	8.08	13.0	0.0	NÃO
135	26.0	20.0	6.14	4.97	7.13	16.0	0.0	NÃO
136	24.0	18.0	4.92	4.97	7.32	33.0	0.0	NÃO
137	29.0	25.0	7.0	4.97	7.51	4.0	0.0	SIM
138	21.0	16.0	6.81	4.97	8.220000000000002	6.0	0.0	NÃO
139	24.0	19.0	8.42	4.97	8.510000000000002	1.0	0.0	NÃO
140	23.0	17.0	5.98	4.97	6.477777777777778	17.0	0.0	NÃO
141	23.0	18.0	6.94	4.97	7.409999999999997	11.0	0.0	NÃO
